,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3119,Middle-Aged,,"<=375,000", Bachelors,12-16, Married-civ-spouse,, Husband, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
3120,Middle-Aged, Private,"<=375,000", Some-college,8-12, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3121,Young, Private,"<=375,000", Some-college,8-12, Never-married, Craft-repair, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3122,Old, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Adm-clerical, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3123,Middle-Aged, Private,"<=375,000", Assoc-voc,8-12, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3124,Young, Private,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3125,Old, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,Modest Loss,40-60hrs, United-States, >50K
3126,Middle-Aged, State-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3127,Young, Private,"<=375,000", Bachelors,12-16, Never-married, Exec-managerial, Own-child, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3128,Old, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3129,Old, Federal-gov,"<=375,000", Assoc-acdm,8-12, Separated, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3130,Middle-Aged, Private,"<=375,000", 11th,4-8, Divorced, Other-service, Unmarried, Other, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3131,Young,,"<=375,000", Some-college,8-12, Never-married,, Own-child, Black, Male,No Gain,No Loss,20-40hrs,, <=50K
3132,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3133,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Own-child, White, Male,High Gain,No Loss,40-60hrs, United-States, >50K
3134,Middle-Aged, Federal-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3135,Old, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3136,Middle-Aged, Self-emp-not-inc,"<=375,000", Some-college,8-12, Never-married, Farming-fishing, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3137,Middle-Aged, Private,"<=375,000", 10th,4-8, Married-civ-spouse, Sales, Husband, White, Male,No Gain,Modest Loss,20-40hrs, United-States, >50K
3138,Middle-Aged, Federal-gov,"<=375,000", HS-grad,8-12, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3139,Young, Private,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3140,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,60-80hrs, United-States, >50K
3141,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3142,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3143,Middle-Aged, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Exec-managerial, Husband, Black, Male,No Gain,Modest Loss,20-40hrs, United-States, >50K
3144,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3145,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3146,Middle-Aged,,"<=375,000", 10th,4-8, Divorced,, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3147,Old, Private,"<=375,000", Bachelors,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3148,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3149,Old, Self-emp-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3150,Middle-Aged, Private,">375,000 and <=750,000", HS-grad,8-12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3151,Young, State-gov,"<=375,000", Bachelors,12-16, Never-married, Prof-specialty, Not-in-family, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
3152,Old, Self-emp-not-inc,"<=375,000", Doctorate,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3153,Old, Federal-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3154,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3155,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Husband, White, Male,Medium Gain,No Loss,40-60hrs, United-States, >50K
3156,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Never-married, Prof-specialty, Own-child, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3157,Young, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3158,Old, Local-gov,"<=375,000", HS-grad,8-12, Widowed, Craft-repair, Not-in-family, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3159,Old, Private,"<=375,000", Assoc-voc,8-12, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,20-40hrs, Germany, >50K
3160,Middle-Aged, Local-gov,"<=375,000", Masters,12-16, Divorced, Prof-specialty, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3161,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Own-child, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3162,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Machine-op-inspct, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3163,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Exec-managerial, Wife, White, Female,No Gain,No Loss,40-60hrs, United-States, >50K
3164,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,40-60hrs,, >50K
3165,Middle-Aged, Private,"<=375,000", 10th,4-8, Married-civ-spouse, Exec-managerial, Wife, White, Female,No Gain,No Loss,20-40hrs, Mexico, <=50K
3166,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs,, >50K
3167,Middle-Aged, Private,"<=375,000", Masters,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3168,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,60-80hrs, United-States, >50K
3169,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3170,Young, State-gov,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Own-child, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3171,Middle-Aged, Self-emp-not-inc,"<=375,000", Masters,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3172,Middle-Aged, State-gov,"<=375,000", Some-college,8-12, Never-married, Prof-specialty, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3173,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3174,Middle-Aged, Local-gov,"<=375,000", Some-college,8-12, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3175,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Divorced, Prof-specialty, Not-in-family, White, Male,High Gain,No Loss,40-60hrs, United-States, >50K
3176,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Adm-clerical, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3177,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Handlers-cleaners, Own-child, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3178,Old, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-spouse-absent, Other-service, Unmarried, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
3179,Middle-Aged, Self-emp-not-inc,"<=375,000", 12th,4-8, Never-married, Other-service, Not-in-family, Black, Female,No Gain,No Loss,20-40hrs, Trinadad&Tobago, <=50K
3180,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Protective-serv, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3181,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3182,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Never-married, Machine-op-inspct, Unmarried, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3183,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Widowed, Sales, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3184,Middle-Aged, State-gov,"<=375,000", Bachelors,12-16, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3185,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3186,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3187,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-spouse-absent, Other-service, Not-in-family, White, Female,No Gain,No Loss,20-40hrs,, <=50K
3188,Old, Private,"<=375,000", HS-grad,8-12, Separated, Sales, Unmarried, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3189,Middle-Aged, Self-emp-inc,"<=375,000", Some-college,8-12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3190,Middle-Aged, Private,"<=375,000", 10th,4-8, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3191,Middle-Aged, Private,"<=375,000", 7th-8th,0-4, Separated, Machine-op-inspct, Not-in-family, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3192,Old, Private,"<=375,000", Some-college,8-12, Never-married, Other-service, Not-in-family, White, Female,Medium Gain,No Loss,40-60hrs, United-States, <=50K
3193,Middle-Aged, Private,">375,000 and <=750,000", 12th,4-8, Divorced, Machine-op-inspct, Unmarried, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3194,Middle-Aged, Private,">375,000 and <=750,000", HS-grad,8-12, Divorced, Other-service, Own-child, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3195,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-spouse-absent, Sales, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3196,Young, Private,"<=375,000", 5th-6th,0-4, Married-spouse-absent, Farming-fishing, Other-relative, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
3197,Middle-Aged, Self-emp-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3198,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3199,Old, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3200,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Exec-managerial, Own-child, White, Male,No Gain,No Loss,40-60hrs,, <=50K
3201,Middle-Aged, Private,"<=375,000", 9th,4-8, Never-married, Machine-op-inspct, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, Dominican-Republic, <=50K
3202,Young, Private,"<=375,000", HS-grad,8-12, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,No Gain,No Loss,40-60hrs, South, <=50K
3203,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Wife, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3204,Middle-Aged, Self-emp-inc,"<=375,000", Bachelors,12-16, Widowed, Sales, Unmarried, White, Male,No Gain,No Loss,60-80hrs, United-States, >50K
3205,Middle-Aged, Private,"<=375,000", 7th-8th,0-4, Never-married, Craft-repair, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3206,Middle-Aged, Local-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,Modest Loss,40-60hrs, United-States, >50K
3207,Young,,"<=375,000", Bachelors,12-16, Never-married,, Own-child, Other, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3208,Middle-Aged, Private,"<=375,000", 10th,4-8, Widowed, Machine-op-inspct, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3209,Old, Private,"<=375,000", HS-grad,8-12, Widowed, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
3210,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3211,Old,,"<=375,000", 7th-8th,0-4, Widowed,, Not-in-family, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
3212,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,Appreciable Loss,40-60hrs, United-States, >50K
3213,Old, Federal-gov,"<=375,000", HS-grad,8-12, Widowed, Other-service, Not-in-family, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
3214,Young, Private,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Own-child, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3215,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, Greece, <=50K
3216,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Farming-fishing, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3217,Old, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3218,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3219,Old, Private,"<=375,000", 11th,4-8, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3220,Middle-Aged, Self-emp-inc,"<=375,000", Bachelors,12-16, Divorced, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,60-80hrs, United-States, >50K
3221,Middle-Aged, Local-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Other-service, Husband, White, Male,No Gain,Modest Loss,40-60hrs, United-States, <=50K
3222,Young, Self-emp-not-inc,"<=375,000", Some-college,8-12, Never-married, Craft-repair, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3223,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Divorced, Adm-clerical, Not-in-family, Black, Male,No Gain,No Loss,60-80hrs, United-States, <=50K
3224,Old, Self-emp-not-inc,"<=375,000", Prof-school,12-16, Married-civ-spouse, Sales, Wife, White, Female,High Gain,No Loss,20-40hrs, United-States, >50K
3225,Middle-Aged, Self-emp-not-inc,"<=375,000", Bachelors,12-16, Married-civ-spouse, Farming-fishing, Husband, White, Male,No Gain,Modest Loss,60-80hrs, United-States, >50K
3226,Old, Local-gov,"<=375,000", 10th,4-8, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3227,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, <=50K
3228,Middle-Aged,,"<=375,000", HS-grad,8-12, Never-married,, Own-child, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3229,Middle-Aged, Private,"<=375,000", 7th-8th,0-4, Divorced, Machine-op-inspct, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3230,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Wife, Black, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3231,Middle-Aged,,"<=375,000", Some-college,8-12, Married-civ-spouse,, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3232,Old, Self-emp-not-inc,"<=375,000", 1st-4th,0-4, Separated, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,20-40hrs,, <=50K
3233,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Machine-op-inspct, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3234,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Other-service, Unmarried, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3235,Middle-Aged, Self-emp-not-inc,"<=375,000", 7th-8th,0-4, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3236,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, Poland, <=50K
3237,Middle-Aged, Private,">375,000 and <=750,000", Some-college,8-12, Never-married, Prof-specialty, Own-child, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
3238,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, Other, Male,No Gain,No Loss,20-40hrs, Puerto-Rico, <=50K
3239,Young,,"<=375,000", Some-college,8-12, Never-married,, Own-child, Asian-Pac-Islander, Female,No Gain,No Loss,20-40hrs, Philippines, <=50K
3240,Middle-Aged, Private,"<=375,000", Some-college,8-12, Never-married, Other-service, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3241,Middle-Aged, Private,"<=375,000", Some-college,8-12, Separated, Other-service, Not-in-family, Black, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3242,Middle-Aged, Private,">375,000 and <=750,000", HS-grad,8-12, Never-married, Handlers-cleaners, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3243,Young, Private,"<=375,000", 9th,4-8, Never-married, Machine-op-inspct, Other-relative, White, Male,No Gain,No Loss,40-60hrs, Mexico, <=50K
3244,Middle-Aged, Local-gov,"<=375,000", Bachelors,12-16, Separated, Prof-specialty, Unmarried, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3245,Middle-Aged, Private,"<=375,000", Some-college,8-12, Married-civ-spouse, Sales, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, >50K
3246,Old, Private,"<=375,000", Assoc-voc,8-12, Never-married, Sales, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3247,Old, Self-emp-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Adm-clerical, Wife, White, Female,High Gain,No Loss,20-40hrs,, >50K
3248,Middle-Aged, Self-emp-inc,"<=375,000", Bachelors,12-16, Married-civ-spouse, Sales, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3249,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,Modest Loss,40-60hrs, United-States, >50K
3250,Middle-Aged, State-gov,"<=375,000", 11th,4-8, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3251,Young, Private,"<=375,000", Some-college,8-12, Never-married, Sales, Own-child, Black, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
3252,Middle-Aged, Local-gov,"<=375,000", Bachelors,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,20-40hrs, United-States, >50K
3253,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Never-married, Handlers-cleaners, Unmarried, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3254,Middle-Aged, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3255,Middle-Aged,,"<=375,000", Assoc-voc,8-12, Divorced,, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3256,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,40-60hrs,, >50K
3257,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Divorced, Craft-repair, Own-child, White, Male,No Gain,Modest Loss,40-60hrs, United-States, <=50K
3258,Young, Private,">375,000 and <=750,000", HS-grad,8-12, Never-married, Handlers-cleaners, Own-child, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3259,Middle-Aged, Private,"<=375,000", Assoc-acdm,8-12, Divorced, Prof-specialty, Unmarried, White, Female,Medium Gain,No Loss,20-40hrs, United-States, <=50K
3260,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,Modest Loss,20-40hrs, Peru, >50K
3261,Old, Private,"<=375,000", HS-grad,8-12, Never-married, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3262,Middle-Aged, Self-emp-not-inc,"<=375,000", HS-grad,8-12, Married-civ-spouse, Transport-moving, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3263,Middle-Aged, Private,"<=375,000", Some-college,8-12, Never-married, Adm-clerical, Not-in-family, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
3264,Middle-Aged, Self-emp-inc,"<=375,000", Assoc-acdm,8-12, Separated, Exec-managerial, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3265,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3266,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Married-civ-spouse, Tech-support, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3267,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Prof-specialty, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3268,Middle-Aged, Private,">375,000 and <=750,000", Bachelors,12-16, Never-married, Prof-specialty, Not-in-family, Black, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3269,Young,,"<=375,000", HS-grad,8-12, Married-civ-spouse,, Wife, Black, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3270,Old, Private,"<=375,000", 10th,4-8, Widowed, Other-service, Not-in-family, White, Female,No Gain,No Loss,0-20hrs, United-States, <=50K
3271,Middle-Aged, Federal-gov,"<=375,000", Masters,12-16, Married-civ-spouse, Exec-managerial, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3272,Middle-Aged, Private,"<=375,000", 10th,4-8, Never-married, Craft-repair, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3273,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,40-60hrs, United-States, >50K
3274,Middle-Aged, Local-gov,"<=375,000", Bachelors,12-16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Medium Gain,No Loss,20-40hrs, United-States, >50K
3275,Old, Private,"<=375,000", Some-college,8-12, Divorced, Adm-clerical, Unmarried, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
3276,Middle-Aged, Local-gov,"<=375,000", Masters,12-16, Never-married, Prof-specialty, Not-in-family, White, Female,No Gain,No Loss,40-60hrs, United-States, <=50K
3277,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3278,Old, Federal-gov,"<=375,000", HS-grad,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, >50K
3279,Middle-Aged, Private,"<=375,000", Bachelors,12-16, Divorced, Exec-managerial, Unmarried, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3280,Middle-Aged, Private,">375,000 and <=750,000", Some-college,8-12, Never-married, Transport-moving, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3281,Middle-Aged, Local-gov,">375,000 and <=750,000", Doctorate,12-16, Never-married, Prof-specialty, Not-in-family, White, Male,No Gain,No Loss,40-60hrs, Mexico, >50K
3282,Middle-Aged, Private,"<=375,000", Some-college,8-12, Never-married, Farming-fishing, Other-relative, White, Male,No Gain,No Loss,40-60hrs, United-States, <=50K
3283,Middle-Aged, Private,"<=375,000", HS-grad,8-12, Separated, Other-service, Other-relative, White, Female,No Gain,No Loss,20-40hrs, United-States, <=50K
3284,Middle-Aged, Private,"<=375,000", Prof-school,12-16, Married-civ-spouse, Adm-clerical, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
3285,Young, Private,">375,000 and <=750,000", HS-grad,8-12, Never-married, Other-service, Own-child, White, Male,No Gain,No Loss,0-20hrs, United-States, <=50K
3286,Middle-Aged, Private,">375,000 and <=750,000", 5th-6th,0-4, Never-married, Other-service, Not-in-family, White, Male,No Gain,No Loss,20-40hrs, Mexico, <=50K
3287,Middle-Aged, Self-emp-inc,"<=375,000", Some-college,8-12, Married-civ-spouse, Farming-fishing, Husband, White, Male,No Gain,No Loss,60-80hrs, United-States, <=50K
3288,Middle-Aged, State-gov,"<=375,000", Assoc-acdm,8-12, Married-civ-spouse, Craft-repair, Husband, White, Male,No Gain,No Loss,20-40hrs, United-States, <=50K
